,source,target,edge,sentence
504,100 world leaders,COP26 summit,promised,"More than 100 world leaders have promised to end and reverse deforestation by 2030, at the COP26 summit."
505,,forests,been,There have been efforts to protect forests before.
506,UN,2030,announced,In 2014 the UN announced a deal to halve deforestation by 2020 and end it by 2030.
507,Then  it,worldwide  2030,set,"Then, in 2017, it set another target to increase forested land by 3% worldwide by 2030."
508,deforestation,serious climate change,continued at,"But deforestation continued at ""an alarming rate"", according to a 2019 report, with serious consequences for the fight against climate change."
509,they,fully  CO2,been,"There has been some reforestation, through natural growth or planting, but trees need years to mature before they can fully absorb CO2."
510,annually  Brazil,Democratic countries,lost,"Over the past decade 4.7 million hectares of forest were still lost annually - with Brazil, the Democratic Republic of Congo and Indonesia among the countries worst affected."
511,other world who,private COP26 jets,been,There has been criticism of the number of world leaders and other delegates who have travelled to the COP26 summit in private jets.
512,choice?Plane spotters,unusual South aircraft,do,How much environmental damage do they do - and did leaders have any choice?Plane spotters at Prestwick Airport in South Ayrshire have been enjoying the unusual range of aircraft arriving there.
513,it,themselves cargo motorcades,been,"And it hasn't just been those ferrying the leaders themselves - there have been cargo aircraft arriving, carrying helicopters and vehicles for motorcades."
514,President Biden,armoured  Glasgow,know,"We know, for example, that President Biden has one of his armoured vehicles, known as ""The Beast"", with him in Glasgow."
515,He,also  Sunday,had,He also had one in Rome on Sunday.
516,which,27  cargo,looked at,"FlightRadar24, which tracks flights, has looked at the number of non-commercial flights into Glasgow, Prestwick and Edinburgh airports since 27 October, excluding cargo, regular or local journeys."
517,such  which,six  days,found,"It has found that there were about 182 such flights, which is about double the total for the previous six days."
518,That,such President plane,excludes,"That excludes some national chartered flights, such as President Biden's plane, Air Force One."
519,Aviation analytics company,1 VIP November,told,"Aviation analytics company Cirium told the BBC there was a total of 76 flights involving private jets, or VIP flights, arriving in and around Glasgow in the four days leading up to 1 November."
520,where Glasgow Prestwick they,41  km,flying from,"Private jets have also been flying from Glasgow Airport, in Paisley, where they have dropped off passengers, to Glasgow Prestwick Airport, in Ayrshire, where they have been parking - a distance of about 41km."
521,Flights,burning carbon fuel,produce,Flights produce greenhouse gases - mainly carbon dioxide (CO2) - from burning fuel.
522,These,global  warming,contribute to global,These contribute to global warming.
523,Emissions,other  transport,known,Emissions per kilometre travelled are known to be significantly worse than any other form of transport.
524,this,considerably  size,varies,"But this varies considerably depending on size, occupancy levels and efficiency."
525,Private  jets,commercial  flights,produce,Private jets generally produce significantly more emissions per passenger than commercial flights.
526,,857 aviation fuel,are many,"There are many different models of private jet, but the Cessna Citation XLS - consistently one of the most popular - burns 189 gallons (857 litres) of aviation fuel an hour on average."
527,26 G20 that,"2,356 jet fuel",take,"If we were to consider the journey from Rome to Glasgow on a private jet - a journey that some of the G20 leaders made to get to COP 26 - that would take around two hours and 45 minutes, requiring 2,356 litres of jet fuel."
528,2.52 Industrial kg,aviation turbine fuel,says,"The Department for Business, Energy and Industrial Strategy (BEIS) says 2.52kg of carbon dioxide is emitted for every litre of aviation turbine fuel burned."
529,Therefore  flight,5.9  CO2,produce,Therefore this flight would produce 5.9 tonnes of CO2.
530,scientists,warming effect,multiplied by,"However, BEIS recommends that to ""capture the maximum climate impact"" of flights, CO2 emissions figures should be multiplied by 1.9 to reflect the effect of non-CO2 emissions released by planes at high altitude, which, scientists say, increase the warming effect."
531,11.3 CO2 passenger,1.2  journey,be,"Therefore, the total emissions for this flight would be 11.3 tonnes of CO2 equivalent, and with a capacity of nine, each passenger would be responsible for 1.2 tonnes on their journey."
532,commercial  emissions,tonne,been,"If, however, our world leaders had decided to take a commercial flight from Rome to Glasgow their emissions would have been a quarter of a tonne each."
533,more  it,fewer  person,is able,"Even though a commercial flight uses more fuel per hour, it is able to fly far more passengers than a private jet and therefore produces fewer emissions per person."
534,many  you,board,used during,"""A huge amount of fuel is used during takeoff and landing of a plane, no matter how many people you have on board."
535,private Dr Debbie Hopkins,Oxford,said,"So an already polluting mode of transport (commercial aviation) becomes even worse (with private jets),"" said Dr Debbie Hopkins, an expert in decarbonising transport at University of Oxford."
536,virtual world commitments,virtual world which,hosted,"In April, US President Joe Biden hosted a virtual climate summit for world leaders, at which some commitments were made."
537,several,person,talking at,But several have been talking at this summit about the value of meeting in person.
538,there  we,Sierra Leone,said,"The president of Sierra Leone said: ""I have travelled extensively because I have to be there - we're talking about challenges and the environment in Sierra Leone."
539,how  they,,know,"If I don't come here, how will they know?"
540,face  talks,such crunch this,said,"""UK Foreign Secretary Liz Truss said face-to-face talks were needed for ""crunch negotiations"" such as this."
541,right  COP26,Rome,is,Another question being asked on social media is why the meeting of the G20 that happened right before COP26 had to be in Rome.
542,G20,big  economies,is,The G20 is a group of big economies plus the European Union.
543,year  country,rotating  group,has,"It has a summit once a year, hosted by whichever country is holding the rotating presidency of the group."
544,originally  it,G20 Riyadh,followed by,"If COP26 had been in November 2020, as originally planned, it would have been followed by the G20 summit in Riyadh, Saudi Arabia."
545,November  piece,Cessna plane,amended,Update 3 November: The piece has been amended to change US gallons to UK gallons in the example of the Cessna plane.
546,,COP26 summit,Read more,Read more about the COP26 summit here.
547,BBC Reality Check,claims,want,What claims do you want BBC Reality Check to investigate?
548,,more Reality Check,Get in,Get in touchRead more from Reality Check
549,human climate change,human  life,rising because,"World temperatures are rising because of human activity, and climate change now threatens every aspect of human life."
550,humans,mass sea level species,experience catastrophic,"Left unchecked, humans and nature will experience catastrophic warming, with worsening droughts, greater sea level rise and mass extinction of species."
551,We,huge  challenge,face,"We face a huge challenge, but there are potential solutions."
552,Climate,many  years,is,Climate is the average weather in a place over many years.
553,Climate change,average  conditions,is,Climate change is a shift in those average conditions.
554,we,now  homes,caused by,"The rapid climate change we are now seeing is caused by humans using oil, gas and coal for their homes, factories and transport."
555,they,greenhouse gases,release,"When these fossil fuels burn, they release greenhouse gases - mostly carbon dioxide (CO2)."
556,temperature,heat,trap,These gases trap the Sun's heat and cause the planet's temperature to rise.
557,19th  amount,50  %,is,The world is now about 1.2C warmer than it was in the 19th Century - and the amount of CO2 in the atmosphere has risen by 50%.
558,worst climate scientists,worst climate change,say,"Temperature rises must slow down if we want to avoid the worst consequences of climate change, scientists say."
559,global  warming,2100,say global,They say global warming needs to be kept to 1.5C by 2100.
560,planet,still  century,warm by more,"However, unless further action is taken, the planet could still warm by more than 2C by the end of this century."
561,Action Tracker world,century,calculated,A report in 2021 by the Climate Action Tracker group calculated that the world was heading for 2.4C of warming by the end of the century.
562,global  warming,irreversible sea plant,think global,"If nothing is done, scientists think global warming could exceed 4C in the future, leading to devastating heatwaves, millions losing their homes to rising sea levels and irreversible loss of plant and animal species."
563,Extreme weather events,more  lives,are,"Extreme weather events are already more intense, threatening lives and livelihoods."
564,farmland,desert,become uninhabitable,"With further warming, some regions could become uninhabitable, as farmland turns into desert."
565,extreme  rainfall,recently  China,happening,"In other regions, the opposite is happening, with extreme rainfall causing historic flooding - as seen recently in China, Germany, Belgium and the Netherlands."
566,poorer  they,climate change,suffer,People in poorer countries will suffer the most as they do not have the money to adapt to climate change.
567,too  this,already  climates,have,Many farms in developing countries already have to endure climates that are too hot and this will only get worse.
568,oceans,also  threat,are,Our oceans and its habitats are also under threat.
569,Great Barrier Reef,warmer climate change,lost,"The Great Barrier Reef in Australia, for example, has already lost half of its corals since 1995 due to warmer seas driven by climate change."
570,more climate change,dry  weather,becoming,"Wildfires are becoming more frequent as climate change increases the risk of hot, dry weather."
571,trapped,climate change,released into,"And as frozen ground melts in places like Siberia, greenhouse gases trapped for centuries will be released into the atmosphere, worsening climate change."
572,they,food,find,"In a warmer world, animals will find it harder to find the food and water they need to live."
573,day  they,150  water,die,"For example, polar bears could die out as the ice they rely on melts away, and elephants will struggle to find the 150-300 litres of water a day they need."
574,century  action,,believe,Scientists believe at least 550 species could be lost this century if action is not taken.
575,Climate change,different  world,has different,Climate change has different effects in different areas of the world.
576,more  others,more  droughts,receive more,"Some places will warm more than others, some will receive more rainfall and others will face more droughts."
577,together landmark they,global  1.5C.,agree,"If temperature rise cannot be kept within 1.5C:Countries agree climate change can only be tackled by working together, and in a landmark agreement in Paris in 2015, they pledged to try to keep global warming to 1.5C."
578,where world countries,carbon reduction 2030,hosting,"The UK is hosting a summit for world leaders, called COP26, in November, where countries will set out their carbon reduction plans for 2030."
579,Many  countries,zero  2050,pledged,Many countries have pledged to get to net zero by 2050.
580,This,equivalent greenhouse gas atmosphere,means,This means reducing greenhouse gas emissions as much as possible and balancing out remaining emissions by absorbing an equivalent amount from the atmosphere.
581,it,big  changes,agree,"Experts agree that this is achievable, but it will require governments, businesses and individuals to make big changes."
582,crucial climate change,control,seen as crucial,"Major changes need to come from governments and businesses, but scientists say some small changes in our lives can limit our impact on the climate:The COP26 global climate summit in Glasgow in November is seen as crucial if climate change is to be brought under control."
583,it,everyday  lives,asked for,"Almost 200 countries are being asked for their plans to cut emissions, and it could lead to major changes to our everyday lives."
584,,Top Getty Images,image from,Top image from Getty Images.
585,,Prof Ed Reading,courtesy of,Climate stripes visualisation courtesy of Prof Ed Hawkins and University of Reading.
586,you,it,cases,"What questions do you have about changes in our climate?In some cases your question will be published, displaying your name, age and location as you provide it, unless you state otherwise."
587,contact details,,published,Your contact details will never be published.
588,you,terms,ensure,Please ensure you have read our terms & conditions and privacy policy.
589,you,mobile BBC YourQuestions@bbc,Use,Use this form to ask your question:If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or send them via email to YourQuestions@bbc.
590,,,uk,co. uk.
591,you,question,include,"Please include your name, age and location with any question you send in."
592,you,it,published,"In some cases your question will be published, displaying your name, age and location as you provide it, unless you state otherwise."
593,contact details,,published,Your contact details will never be published.
594,you,terms,ensure,Please ensure you have read our terms & conditions and privacy policy.
595,you,mobile BBC YourQuestions@bbc,Use,Use this form to ask your question:If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or send them via email to YourQuestions@bbc.
596,,,uk,co. uk.
597,you,question,include,"Please include your name, age and location with any question you send in."
598,we,planetary climate change,say,Scientists and politicians say we are facing a planetary crisis because of climate change.
599,it,rapidly Industrial Revolution,warming,But what's the evidence for global warming and how do we know it's being caused by humans?Our planet has been warming rapidly since the dawn of the Industrial Revolution.
600,average  temperature,1850,risen about,The average temperature at the Earth's surface has risen about 1.1C since 1850.
601,four  that,19th  Century,been warmer,"Furthermore, each of the last four decades has been warmer than any that preceded it, since the middle of the 19th Century."
602,conclusions,different  world,come from,These conclusions come from analyses of millions of measurements gathered in different parts of the world.
603,temperature readings,weather satellites,collected by,"The temperature readings are collected by weather stations on land, on ships and by satellites."
604,independent  teams,industrial  era,reached,Multiple independent teams of scientists have reached the same result - a spike in temperatures coinciding with the onset of the industrial era.
605,Scientists,back temperature time,reconstruct,Scientists can reconstruct temperature fluctuations even further back in time.
606,Tree rings,past lake climate,record,"Tree rings, ice cores, lake sediments and corals all record a signature of the past climate."
607,This,current  warming,provides,This provides much-needed context to the current phase of warming.
608,Earth,"125,000  years",estimate,"In fact, scientists estimate the Earth hasn't been this hot for about 125,000 years."
609,which,crucial temperature rise,are,Greenhouse gases - which trap the Sun's heat - are the crucial link between temperature rise and human activities.
610,carbon dioxide,atmosphere,is,"The most important is carbon dioxide (CO2), because of its abundance in the atmosphere."
611,also  it,energy,tell,We can also tell it's CO2 trapping the Sun's energy.
612,precisely  CO2,energy,show less,Satellites show less heat from the Earth escaping into space at precisely the wavelengths at which CO2 absorbs radiated energy.
613,Burning,fossil greenhouse gas,lead to,Burning fossil fuels and chopping down trees lead to the release of this greenhouse gas.
614,atmospheric  CO2,same  period,'s,"Both activities exploded after the 19th Century, so it's unsurprising that atmospheric CO2 increased over the same period."
615,extra  CO2,definitively  where,'s,There's a way we can show definitively where this extra CO2 came from.
616,carbon,distinctive chemical signature,has,The carbon produced by burning fossil fuels has a distinctive chemical signature.
617,,atmospheric record chemistry,rings,Tree rings and polar ice both record changes in atmospheric chemistry.
618,carbon,significantly fossil 1850,examined,When examined they show that carbon - specifically from fossil sources - has risen significantly since 1850.
619,atmospheric  CO2,300  million,shows,"Analysis shows that for 800,000 years, atmospheric CO2 did not rise above 300 parts per million (ppm)."
620,CO2 concentration,420  ppm,soared to,"But since the Industrial Revolution, the CO2 concentration has soared to its current level of nearly 420 ppm."
621,climate what,massive greenhouse humans,used,"Computer simulations, known as climate models, have been used to show what would have happened to temperatures without the massive amounts of greenhouse gases released by humans."
622,natural  factors,climate,reveal,"They reveal there would have been little global warming - and possibly some cooling - over the 20th and 21st Centuries, if only natural factors had been influencing the climate."
623,models,temperature,explain,Only when human factors are introduced can the models explain increases in temperature.
624,Earth,significant  us,predicted,The level of heating Earth has experienced already is predicted to cause significant changes to the world around us.
625,scientists,induced  warming,match,Real-world observations of these changes match patterns scientists expect to see with human-induced warming.
626,They,hot  past,include,They include:There have been several hot periods during the Earth's past.
627,like ice creatures,Canadian  Arctic,were,"Around 92 million years ago, for example, temperatures were so high that there were no polar ice caps and crocodile-like creatures lived as far north as the Canadian Arctic."
628,however  humans,anyone,comfort,"That should not comfort anyone, however, because humans were not around."
629,sea level,higher  present,was,"At times in the past, sea level was 25m (80ft) higher than the present."
630,rise,coastal  cities,considered,A rise of 5-8m (16-26ft) is considered enough to submerge most of the world's coastal cities.
631,,mass  periods,is abundant,There is abundant evidence for mass extinctions of life during these periods.
632,most  species,times,suggest,"And climate models suggest that, at times, the tropics could have become ""dead zones"", too hot for most species to survive."
633,it,such El Niño,caused by,"These fluctuations between hot and cold have been caused by a variety of phenomena, including the way the Earth wobbles as it orbits the Sun over long periods, volcanic eruptions and short-term climate cycles such as El Niño."
634,many  groups,global  warming,cast,"For many years, groups of so-called climate ""sceptics"" have cast doubt on the scientific basis of global warming."
635,who,current climate change,agree on,"However, virtually all scientists who publish regularly in peer-reviewed journals now agree on the current causes of climate change."
636,human  influence,atmosphere,said,"A key UN report released in 2021 said it ""is unequivocal that human influence has warmed the atmosphere, oceans and land""."
637,crucial climate change,control,seen as crucial,The COP26 global climate summit in Glasgow in November is seen as crucial if climate change is to be brought under control.
638,it,everyday  lives,asked for,"Almost 200 countries are being asked for their plans to cut emissions, and it could lead to major changes to our everyday lives."
639,,,credit,Top image credit: Getty Images.
640,,Prof Ed Reading,courtesy of,Climate stripes visualisation courtesy of Prof Ed Hawkins and University of Reading.
641,Avoiding,scientific  studies,is,"Avoiding meat and dairy products is one of the biggest ways to reduce your environmental impact, according to recent scientific studies."
642,high  consumption,global  warming,help,"Switching to a plant-based diet can help fight climate change, according to a major report by the UN's Intergovernmental Panel on Climate Change (IPCC), which says the West's high consumption of meat and dairy is fuelling global warming."
643,difference,beef,is,But what is the difference between beef and chicken?
644,bowl,more greenhouse chips,produce more,Does a bowl of rice produce more climate warming greenhouse gases than a plate of chips?
645,often  you,it,Is,"Is wine more environmentally friendly than beer?To find out the climate impact of what you eat and drink, choose from one of the 34 items in our calculator and pick how often you have it."
646,figures,calculator,are global,All figures for each food in the calculator are global averages.
647,you,interactive food content,click,"If you cannot view the food calculator, click to launch the interactive content."
648,,Felix Stephenson,Design by,"Design by Prina Shah, development by Felix Stephenson and Becky Rush."
649,Food production,University greenhouse gas study,is responsible,"Food production is responsible for a quarter of all greenhouse gas emissions, contributing to global warming, according to a University of Oxford study."
650,environmental  impact,different  foods,found,"However, the researchers found that the environmental impact of different foods varies hugely."
651,only greenhouse gas we,only greenhouse gas calories,showed,"Their findings showed that meat and other animal products are responsible for more than half of food-related greenhouse gas emissions, despite providing only a fifth of the calories we eat and drink."
652,,damaging  environment,found,"Of all the products analysed in the study, beef and lamb were found to have by far the most damaging effect on the environment."
653,how  individuals,Climate Change,echo,The findings echo recommendations on how individuals can lessen climate change by the Intergovernmental Panel on Climate Change (IPCC).
654,we,seasonal  it,says,"When it comes to our diets, the IPCC says we need to buy less meat, milk, cheese and butter - but also eat more locally sourced seasonal food, and throw less of it away."
655,also  we,instead video conferencing,recommends,"The IPCC also recommends that we insulate homes, take trains and buses instead of planes, and use video conferencing instead of business travel."
656,Cutting,two Oxford journal,reduce,"Cutting meat and dairy products from your diet could reduce an individual's carbon footprint from food by two-thirds, according to the Oxford study, published in the journal Science."
657,researcher Joseph Poore,BBC News,told,"""What we eat is one of the most powerful drivers behind most of the world's major environmental issues, whether it's climate change or biodiversity loss,"" study researcher Joseph Poore told BBC News."
658,environmental  he,environmental  forests,said,"Changing your diet can make a big difference to your personal environmental footprint, from saving water to reducing pollution and the loss of forests, he said."
659,globally  Poore,that,explained,"""It reduces the amount of land required to produce your food by about 75% - that's a huge reduction, particularly if you scale that up globally,"" Poore explained."
660,regularly  replacing,bigger carbon diet,have,"If you fly regularly, replacing flying with other forms of transport may have a bigger impact on your carbon footprint than changing your diet."
661,carbon footprint,under greenhouse gases,is,A passenger's carbon footprint from a one-way flight from London to New York is just under half a tonne of greenhouse gases.
662,Switching,than petrol year,save more,Switching from a regular petrol vehicle to an electric car could save more than double that over a year.
663,same  food,environmental  impact,is,"Knowing how and where your food is produced is also important, as the same food can have huge differences in environmental impact."
664,more greenhouse gas cows,natural  pastures,is responsible,"For example, beef cattle raised on deforested land is responsible for 12 times more greenhouse gas emissions than cows reared on natural pastures."
665,average  beef,much greenhouse land,results in,The average beef from South America results in three times the amount of greenhouse gases as beef produced in Europe - and uses 10 times as much land.
666,you,big  difference,are,Meat and dairy are not the only foods where the choices you make can make a big difference.
667,,high greenhouse gases,Chocolate,Chocolate and coffee originating from deforested rainforest produce relatively high greenhouse gases.
668,,instead  gas,choose,"For climate-friendly tomatoes, choose those grown outdoors or in high-tech greenhouses, instead of in greenhouses heated by gas or oil."
669,draught  beer,recyclable  cans,be interested,"Environmentally-minded beer-drinkers may be interested to know that draught beer is responsible for fewer emissions than recyclable cans, or worse, glass bottles."
670,friendly meat options,more vegetarian protein beans,produce more,"Even the most climate-friendly meat options still produce more greenhouse gases than vegetarian protein sources, like beans or nuts."
671,vast  what,vast  majority,looked at,"University of Oxford researcher Joseph Poore, and Thomas Nemecek of the Agroecology and Environment Research Division in Zurich, Switzerland, looked at the environmental impact of 40 major food products that represent the vast majority of what is eaten globally."
672,They,fresh cooking process,assessed,"They assessed the effect of these foods on climate-warming greenhouse gas emissions and the amount of land and fresh water used across all stages of their production, including processing, packaging, and transportation, but excluding the cooking process."
673,different production practices,different  planet,have,"By analysing data from nearly 40,000 farms, 1,600 processors, packaging types and retailers, Poore and Nemecek were able to assess how different production practices and geographies have very different consequences on the planet."
674,data,different food products,looked at,The data in the study looked at the environmental impact for 1kg of each of the different food products.
675,healthy diet portion,BUPA,converted to,"For this story, these were converted to impact per serving sizes based on serving sizes from the British Dietetic Association (BDA) and healthy diet portion sizes from BUPA."
676,normally  figures,reality,are,"The figures for serving sizes based on the BDA and BUPA suggestions are often lower than portion sizes commonly found in restaurants and what people normally expect, so the figures returned by the calculator on the impact of individuals' consumption are likely to be higher in reality."
677,rich  foods,cooked  foods,calculated,"Protein-rich foods were calculated using the impact per 100g of protein from Poore and Nemecek's research and data on protein per serving from the BDA, to avoid differences between cooked and uncooked foods."
678,figures,carbon dioxide equivalents,are in,The figures for greenhouse gas emissions are in kilograms of carbon dioxide equivalents (CO2eq).
679,that,equivalent carbon dioxide,is,"This is a unit that converts the impact of different kinds of greenhouse gases, like methane and nitrous oxide, to the equivalent amount of carbon dioxide."
680,one  it,weekly  user,calculated by,"The annual impact from eating a specific food is calculated by multiplying the impact of one serving of that food by the times it is eaten in a year, based on the weekly estimates submitted by the user."
681,These,daily  habits,compared with,These are then compared with the emissions of other daily habits.
682,driving,entire fuel mile,estimates,"The European Environment Agency estimates that driving a regular petrol car produces 392g of CO2eq/mile over its entire lifecycle, including emissions from the vehicle's production, fuel production and exhaust emissions per mile."
683,annually carbon footprint,2018 Carbon Neutral Calculator,produces,"Heating the average UK home produces 2.34 tonnes of CO2eq annually, according to data from the Committee on Climate Change, and a passenger's carbon footprint for a return flight from London to Malaga is 320kg CO2eq, based on 2018 figures from the Carbon Neutral Calculator."
684,longer  methodology,it,is,"The Carbon Neutral Calculator is no longer online, but the methodology behind it can still be accessed."
685,261 tennis metres,double tennis court,squared,"The land used to produce the annual consumption of each food is compared with the size of a double tennis court, 261 metres squared."
686,average  shower,65  litres,compared with,"The annual amount of water used is compared with a shower, based on figures suggesting the average shower lasts eight minutes and uses up 65 litres."
687,blue  water,i. e. data,included in,"Only ""blue water"", i. e. water taken out of rivers or the ground, is included in the data."
688,Countries,climate change Glasgow,set,"Countries have set out plans to cut greenhouse gas emissions, at the COP26 climate change summit in Glasgow."
689,They,global  warming,hope,"They hope to achieve the target of ""net zero"" by 2050, to help slow global warming."
690,Net zero,greenhouse atmosphere,means,Net zero means not adding to the amount of greenhouse gases in the atmosphere.
691,well  that,equivalent  amount,means,"Achieving it means reducing emissions as much as possible, as well as balancing out any that remain by removing an equivalent amount."
692,when carbon we,homes,released,"Greenhouse gases like carbon dioxide (CO2) are released when we burn oil, gas and coal for our homes, factories and transport."
693,Methane,farming,produced through,Methane is produced through farming and landfill.
694,gases,global  energy,cause global,These gases cause global warming by trapping the sun's energy.
695,rapid  deforestation,fewer  CO2,means,"Meanwhile, rapid deforestation across the world means there are fewer trees and plants to absorb CO2."
696,197 Paris countries,worst climate change,agreed,"Under the 2015 Paris Agreement, 197 countries agreed to try to keep temperature rises ""well below"" 1.5C to avoid the worst impacts of climate change."
697,net  zero,2050,say,"Experts say that to achieve this, net zero must be reached by 2050."
698,that,more  trees,reduced to,"Not all emissions can be reduced to zero, so those that remain have to be compensated for, or offset - for example, by planting more trees."
699,Almost  country,enough tree number,embarked on,"Almost every country has embarked on tree planting as a cheap way of reducing carbon, although there may not be enough space for the number required."
700,Carbon capture,also  solution,suggested as,Carbon capture and storage has also been suggested as another solution.
701,This,then  it,involves,"This involves using machinery to remove carbon from the air, then solidifying it and burying it underground."
702,However  technology,,emerging,"However, the technology is still emerging, very expensive and as yet unproven."
703,It,,be easy,It won't be easy.
704,abandoning  vehicles,electricity,involve,"Reaching net zero will involve moving from fossil fuels to renewable energy for our power, and abandoning vehicles run on petrol and diesel, in favour of those powered by electricity and hydrogen."
705,Gas central Gas heating,such heat pumps,need,"Gas central heating will need to be replaced by alternative sources, such as heat pumps."
706,Reaching,red  meat,mean,"Reaching net zero could also mean flying far less in future, and eating less red meat."
707,new diesel electricity,renewable  2035,pledged,"Presenting the government's net zero strategy to the House of Commons in the run up to COP26, the government pledged:The government had already announced a ban on new petrol and diesel cars from 2030, and that all the UK's electricity will come from renewable sources by 2035."
708,Secretary Ed Miliband,latest  announcements,called,"At the time, Shadow Business Secretary Ed Miliband called the latest announcements ""a massive let-down""."
709,130  countries,zero  2050,pledged,More than 130 countries have pledged to reach net zero emissions before 2050.
710,biggest  it,carbon 2060,says,"However, China - currently the biggest producer of CO2 in the world - says it's aiming for ""carbon neutrality"" by 2060."
711,how  it,exactly  what,set,It hasn't set out exactly what this means or how it will get there.
712,net draft commitment,net  2060,pledged,"Russia - the third-largest producer of oil worldwide - has also pledged to reach net zero by 2060, although its draft commitment hasn't been legally ratified."
713,recently President Putin,rising  temperatures,dismissed,Until recently President Putin dismissed the risks posed by rising temperatures.
714,President Joe Biden,Russian COP26 summit,criticised,US President Joe Biden criticised the Russian and Chinese leaders for not attending the COP26 summit.
715,India,net  2070,promised,"India - the world's fourth biggest emitter of CO2 after China, the US and the EU - has promised to cut its emissions to net zero by 2070."
716,Some,zero  commitment,made,Some of the world's most heavily populated countries - including Indonesia - haven't made any net zero commitment.
717,which,zero COP26 goal,linked to,"But many of the announcements which have already come out of the COP26 summit on deforestation, cutting methane and reducing coal are directly linked to helping countries hit their net zero goal."
718,how  countries,net  zero,'s,There's controversy about how some countries might try to reach net zero.
719,lower  it,such steel production,record lower,"For instance, Country A might record lower emissions if it shuts down energy-intensive industries such as steel production."
720,then Country it,instead greenhouse gases,handed,"But if Country A then imports steel from Country B, it's effectively handed on its carbon emissions to Country B instead of reducing the sum total of greenhouse gases."
721,that,cleaner  fuels,are,There are schemes that enable rich countries to offset their emissions by paying poorer countries to switch to cleaner fuels.
722,wealthier  nations,own fossil fuel usage,worry such,"However, some climate scientists worry such arrangements could let wealthier nations avoid reducing their own fossil fuel usage."
723,offset,emissions,'s hard,And it's hard to say that initiatives funded to offset emissions elsewhere would not have happened anyway.
724,crucial climate change,control,seen as crucial,The COP26 global climate summit in Glasgow in November is seen as crucial if climate change is to be brought under control.
725,it,everyday  lives,asked for,"Almost 200 countries are being asked for their plans to cut emissions, and it could lead to major changes to our everyday lives."
726,climate scientists,climate change,say,"Re-flooding coastal wetlands could provide an opportunity to ""work with nature"" and use sea level rise to fight climate change, scientists say."
727,ongoing  study,coastal carbon mud,shown,An ongoing study of a coastal marsh in Scotland has shown the potential to lock carbon emissions into mud.
728,stretch,Skinflats RSPB 2018,restored in,A stretch of the Skinflats RSPB reserve near Falkirk was restored in 2018.
729,here Allison Leonard,here  years,said,"""It's now pretty much indistinguishable from the saltmarsh that's been here for hundreds of years,"" said the RSPB's Allison Leonard."
730,actually  it,actually  seawall,carried,"""We carried out lots of surveys and studies before we did it, but then when it actually came to breaching the seawall, it's really quite simple."
731,You,just  it,get,You get a digger and just go for it.
732,nature,just  thing,explained,"""Once the water found its way in, Ms Leonard explained ""nature just did its thing""."
733,really wildlife she,really wildlife respond,said,"""We're really seeing the wildlife respond,"" she said."
734,created  what,blue  carbon,explained,"Prof William Austin from the University of St Andrews, who has been studying the site's natural restoration explained that ""allowing the sea to come back in"" created habitat and an opportunity to store what is known as blue carbon."
735,he,plants,explained,"""That's the carbon stored in plants and soils,"" he explained."
736,that,otherwise greenhouse gas,are,"""These [saltmarshes] are places that will build up stores of carbon that would otherwise be in the atmosphere as a greenhouse gas."
737,in  he,BBC News,told,"""We can count the plant species here, we can count the animals, we can look at the wading birds that start to come in and use the site,"" he told BBC News."
738,organic  that,carbon,starting,"""But as well as nature positive changes, we're starting to see an accumulation in the soil of organic material that is rich in carbon."
739,why  habitats,great  us,is,This is why these habitats are such great interest to us.
740,protection,zero wetland emissions,suggested,"""As the COP26 climate summit draws to a conclusion in Glasgow, he suggested that the protection, restoration and even the creation of new wetland habitat could be a valuable part of Scotland's efforts to reach net-zero emissions."
741,sites,greenhouse us,take,"""These sites take in some of this greenhouse gas for us."
742,net  he,net  zero,said,"So we need to work with nature to achieve that balance of net zero,"" he said."
743,we,meantime,have,"""But of course, we have to reduce our emissions in the meantime."
744,,Follow Twitter,Victoria on,"""Follow Victoria on Twitter"
745,that planet Earth,warming world,reveal,"In our monthly feature, Then and Now, we reveal some of the ways that planet Earth has been changing against the backdrop of a warming world."
746,deforestation,environmental  damage,seen as,"For decades, deforestation has been seen as a leading cause of environmental damage."
747,tree politicians,notice,realised,"Now, the full cost that losing our tree cover is having on the world's climate is being realised, and politicians are taking notice."
748,surely poster it,environmental poster degradation,is,"If there was a poster-child of environmental degradation, surely it is deforestation."
749,removal,main nature loss,listed as,"The removal of trees - for example, through logging or fires - has, for many decades, been listed as one of the main factors behind nature loss and environmental harm."
750,recent  loss,volatile tree climate,linked to,"In recent years, the loss of tree cover around the world has also been firmly linked to the increasingly volatile changes to the climate."
751,Plants,CO2 atmosphere,absorb,Plants and trees absorb up to a third of our CO2 emissions from the atmosphere each year.
752,harmful  that,fossil fuels,reducing,"Yet, as we fell vast swathes of primary forests around the globe, we are reducing our planet's ability to lock away, or sequester, the harmful gas that is released from burning fossil fuels."
753,other land that,equivalent  Libya,lost through,"According to the UN, an estimated 420 million hectares (one billion acres) of forest have been lost through conversion to other land uses since 1990 - that is an area roughly equivalent to the size of Libya."
754,However  campaigns,three  decades,had,"However, campaigns to protect forests have had an impact during the past three decades."
